old_tag,new_tag,action,notes
People,People,hierarchy,parent=Agents (new top-level facet)
Demographic groups,Demographic groups,hierarchy,parent=People
Women,Women,hierarchy,parent=Demographic groups
Men,Men,hierarchy,parent=Demographic groups
Children,Children,hierarchy,parent=Demographic groups
Adolescents,Adolescents,hierarchy,parent=Demographic groups
Widows,Widows,hierarchy,parent=Demographic groups
Families,Families,hierarchy,parent=Demographic groups
Miners' families,Miners' families,hierarchy,parent=Families
Ethnic groups,Ethnic groups,hierarchy,parent=People
Aboriginal people,Aboriginal people,hierarchy,parent=Ethnic groups
Chinese people,Chinese people,hierarchy,parent=Ethnic groups
Irish culture,Irish culture,hierarchy,parent=Ethnic groups
Reference to the Irish or Irish culture,Irish culture,synonym,Renamed to emphasize cultural references rather than demographic group
Minors,Children,broader,Broader term covering both Children and Adolescents (ages <18)
Occupations,Occupations,hierarchy,parent=People
Miners,Miners,hierarchy,parent=Occupations
Medical professionals,Medical professionals,hierarchy,parent=Occupations
Dr Spark,Dr Spark,hierarchy,parent=Medical professionals
Dr Prangley,Dr Prangley,hierarchy,parent=Medical professionals
Dr Watkins,Dr Watkins,hierarchy,parent=Medical professionals
Dr Morgan,Dr Morgan,hierarchy,parent=Medical professionals
Clergy,Clergy,hierarchy,parent=Occupations
Reverend F V Pratt,Reverend F V Pratt,hierarchy,parent=Clergy
Reverend Canon Kemmis,Reverend Canon Kemmis,hierarchy,parent=Clergy
Reverend M S Fletcher,Reverend M S Fletcher,hierarchy,parent=Clergy
Reverend J H Maclean,Reverend J H Maclean,hierarchy,parent=Clergy
Reverend A Sutherland,Reverend A Sutherland,hierarchy,parent=Clergy
Reverence M C Brown,Reverence M C Brown,hierarchy,parent=Clergy
Reverend R M Laverty,Reverend R M Laverty,hierarchy,parent=Clergy
Cardinal Moran,Cardinal Moran,hierarchy,parent=Clergy
Law enforcement,Law enforcement,hierarchy,parent=Occupations
Police,Police,hierarchy,parent=Law enforcement (intermediate facet)
Senior-Constable Illingworth,Senior-Constable Illingworth,hierarchy,parent=Police
Senior-Constable Thorncroft,Senior-Constable Thorncroft,hierarchy,parent=Police
Constable Orr,Constable Orr,hierarchy,parent=Police
Constable John Hamilton,Constable John Hamilton,hierarchy,parent=Police
Constable O'Reilly,Constable O'Reilly,hierarchy,parent=Police
Constable White,Constable White,hierarchy,parent=Police
Sergeant Thorndyke,Sergeant Thorndyke,hierarchy,parent=Police
Legal officials,Legal officials,hierarchy,parent=Occupations
Coroners,Coroners,hierarchy,parent=Legal officials (intermediate facet)
Coroner,Coroner,hierarchy,parent=Coroners
Coroner Lethbridge,Coroner Lethbridge,hierarchy,parent=Coroners
Public officials,Public officials,hierarchy,parent=Occupations
Aldermen,Aldermen,hierarchy,parent=Public officials
Licensing inspector,Licensing inspector,hierarchy,parent=Public officials
Stationmaster,Stationmaster,hierarchy,parent=Public officials
Minister for Mines,Minister for Mines,hierarchy,parent=Public officials
Postal employees,Postal employees,hierarchy,parent=Public officials
Postmasters,Postmasters,hierarchy,parent=Postal employees
Postmaster,Postmaster,hierarchy,parent=Postmasters
Mrs. H. Corston,Mrs. H. Corston,hierarchy,parent=Postmasters
Mrs. A. Smith,Mrs. A. Smith,hierarchy,parent=Postmasters
Mrs. James,Mrs. James,hierarchy,parent=Postmasters
Mrs. England,Mrs. England,hierarchy,parent=Postmasters
Mailmen,Mailmen,hierarchy,parent=Postal employees
Mailman,Mailman,hierarchy,parent=Mailmen
Postman,Mailman,synonym,Alternative term for mailman
Postboy,Postboy,hierarchy,parent=Mailmen
Hospitality workers,Hospitality workers,hierarchy,parent=Occupations
Publican,Publican,hierarchy,parent=Hospitality workers
Liquor merchants,Liquor merchants,hierarchy,parent=Hospitality workers
Mr Wilkinson,Mr Wilkinson,hierarchy,parent=Liquor merchants
Hotelliers,Hotelliers,hierarchy,parent=Hospitality workers
Hotellier,Hotellier,hierarchy,parent=Hotelliers
Mrs Long,Mrs Long,hierarchy,parent=Hotelliers
Mr Wilson,Mr Wilson,hierarchy,parent=Hotelliers
Mr Manuel,Mr Manuel,hierarchy,parent=Hotelliers
F. C. Goyder,F. C. Goyder,hierarchy,parent=Hotelliers
Rubina Fryer,Rubina Fryer,hierarchy,parent=Hotelliers
Isabellea J. Long,Isabellea J. Long,hierarchy,parent=Hotelliers
Mr N. Delaney,Mr N. Delaney,hierarchy,parent=Hotelliers
Mr Ellis,Mr Ellis,hierarchy,parent=Hotelliers
Mr Joe Nimmo,Mr Joe Nimmo,hierarchy,parent=Hotelliers
Mrs (Joe) Nimmo,Mrs (Joe) Nimmo,hierarchy,parent=Hotelliers
Manuell,Manuell,hierarchy,parent=Hotelliers
Mrs Brown,Mrs Brown,hierarchy,parent=Hotelliers
W. Green,W. Green,hierarchy,parent=Hotelliers
Richard Allen,Richard Allen,hierarchy,parent=Hotelliers
Mr Alf. Goodare,Mr Alf. Goodare,hierarchy,parent=Hotelliers
Mr R. Fryer,Mr R. Fryer,hierarchy,parent=Hotelliers
Mrs (R.) Fryer,Mrs (R.) Fryer,hierarchy,parent=Hotelliers
Mr Edwards,Mr Edwards,hierarchy,parent=Hotelliers
Biles,Biles,hierarchy,parent=Hotelliers
Mr J. Nimmo,Mr J. Nimmo,hierarchy,parent=Hotelliers
Mr D. Thompson,Mr D. Thompson,hierarchy,parent=Hotelliers
Mr D. Brown,Mr D. Brown,hierarchy,parent=Hotelliers
Mr P. G. Whittall,Mr P. G. Whittall,hierarchy,parent=Hotelliers
Allen,Allen,hierarchy,parent=Hotelliers
